page,product_name,price_range,rating
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,),$779.99,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,$699.99,$779.99,9
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,$699.99,SAVE $220,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,SAVE $200,$219.99,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,iPad,$219.99,0
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,Android Tablets,SAVE $40,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,Windows Tablets,$829.99,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,Refurbished Tablets,$829.99,2
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,Tablet & iPad Accessories,SAVE $370,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,"Samsung Galaxy Tab A 10.1"" 32GB Android 9.0 Tablet With 8-Core Processor - Black",$638.92,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,(,$638.92,0
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,16,SAVE $161,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,),$149.99,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,$249.99,$149.99,3
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,$249.99,SAVE $50,)
